atlasId,atlasName,cohortId,name
313,ACEI user as monotherapy for HTN at COVID-19 diagnosis,313,ACEI_user_as_monotherapy_for_HTN_at_COVID19_diagnosis
243," ARB user as monotherapy for HTN at COVID-19 diagnosis",243,_ARB_user_as_monotherapy_for_HTN_at_COVID19_diagnosis
245,[LEGEND-HTN]Total cardiovascular disease events,245,LEGENDHTNTotal_cardiovascular_disease_events
246,"[LEGEND]Stroke, ischemic or hemorrhagic events",246,LEGENDStroke_ischemic_or_hemorrhagic_events
247,[LEGEND-HTN]Heart failure,247,LEGENDHTNHeart_failure
248,[LEGEND-HTN]Acute myocardial infarction events,248,LEGENDHTNAcute_myocardial_infarction_events
58,All-cause mortality,58,Allcause_mortality
61,Artificial ventilation,61,Artificial_ventilation
249,"Composite endpoint: all-cause mortality, ICU care, intubation, ventilator care, and ECMO",249,Composite_endpoint_allcause_mortality_ICU_care_intubation_ventilator_care_and_ECMO
59,ICU care,59,ICU_care
60,Endotracheal intubation,60,Endotracheal_intubation
62,ECMO,62,ECMO
77,Interferon [drug exposure outcome],77,Interferon_drug_exposure_outcome
80,Lopinavir-Ritonavir [drug exposure outcome],80,LopinavirRitonavir_drug_exposure_outcome
81,Hydroxychloroquine [drug exposure outcome],81,Hydroxychloroquine_drug_exposure_outcome
314,THZ user as monotherapy for HTN at COVID-19 diagnosis,314,THZ_user_as_monotherapy_for_HTN_at_COVID19_diagnosis
315,dCCB user as monotherapy for HTN at COVID-19 diagnosis,315,dCCB_user_as_monotherapy_for_HTN_at_COVID19_diagnosis
