targetId,comparatorId,outcomeId,outcomeName,type
126,137,443172,"""Splinter of face",outcome
126,137,434165,Abnormal cervical smear,outcome
126,137,436409,Abnormal pupil,outcome
126,137,199192,Abrasion and/or friction burn of trunk without infection,outcome
126,137,4088290,Absence of breast,outcome
126,137,4092879,Absent kidney,outcome
126,137,436634,Acariasis,outcome
126,137,44783954,Acid reflux,outcome
126,137,75911,Acquired hallux valgus,outcome
126,137,137951,Acquired keratoderma,outcome
126,137,77965,Acquired trigger finger,outcome
126,137,376707,Acute conjunctivitis,outcome
126,137,4103640,Amputated foot,outcome
126,137,432595,Amyloidosis,outcome
126,137,73241,Anal and rectal polyp,outcome
126,137,437082,Ankylosing spondylitis,outcome
126,137,77650,Aseptic necrosis of bone,outcome
126,137,378424,Astigmatism,outcome
126,137,374923,Bell's palsy,outcome
126,137,4110709,Benign epithelial neoplasm of skin,outcome
126,137,133655,Burn of forearm,outcome
126,137,73560,Calcaneal spur,outcome
126,137,434327,Cannabis abuse,outcome
126,137,4213540,Cervical somatic dysfunction,outcome
126,137,381581,Chalazion,outcome
126,137,140842,Changes in skin texture,outcome
126,137,438531,Chondromalacia,outcome
126,137,81378,Chondromalacia of patella,outcome
126,137,432303,Cocaine abuse,outcome
126,137,4201390,Colostomy present,outcome
126,137,46269889,Complication due to Crohn's disease,outcome
126,137,134438,Contact dermatitis,outcome
126,137,78619,Contusion of knee,outcome
126,137,201606,Crohn's disease,outcome
126,137,260134,Croup,outcome
126,137,76786,Derangement of knee,outcome
126,137,443767,Diabetic oculopathy,outcome
126,137,4115402,Difficulty sleeping,outcome
126,137,45757370,Disproportion of reconstructed breast,outcome
126,137,433111,Effects of hunger,outcome
126,137,441589,Endocarditis,outcome
126,137,200775,Endometrial hyperplasia,outcome
126,137,433527,Endometriosis,outcome
126,137,73008,Enthesopathy,outcome
126,137,4249170,Epicondylitis,outcome
126,137,4170770,Epidermoid cyst,outcome
126,137,4345472,Epstein-Barr virus disease,outcome
126,137,4092896,Feces contents abnormal,outcome
126,137,259995,Foreign body in orifice,outcome
126,137,4050747,Fracture of upper limb,outcome
126,137,196456,Gallstone,outcome
126,137,40481632,Ganglion cyst,outcome
